alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
AF,AFG,4,ISO 3166-2:AF,Asia,Southern Asia,,142.0,34.0,
AX,ALA,248,ISO 3166-2:AX,Europe,Northern Europe,,150.0,154.0,
AL,ALB,8,ISO 3166-2:AL,Europe,Southern Europe,,150.0,39.0,
DZ,DZA,12,ISO 3166-2:DZ,Africa,Northern Africa,,2.0,15.0,
AS,ASM,16,ISO 3166-2:AS,Oceania,Polynesia,,9.0,61.0,
AD,AND,20,ISO 3166-2:AD,Europe,Southern Europe,,150.0,39.0,
AO,AGO,24,ISO 3166-2:AO,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AQ,ATA,10,ISO 3166-2:AQ,,,,,,
AG,ATG,28,ISO 3166-2:AG,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AR,ARG,32,ISO 3166-2:AR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
AM,ARM,51,ISO 3166-2:AM,Asia,Western Asia,,142.0,145.0,
AW,ABW,533,ISO 3166-2:AW,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,
AT,AUT,40,ISO 3166-2:AT,Europe,Western Europe,,150.0,155.0,
AZ,AZE,31,ISO 3166-2:AZ,Asia,Western Asia,,142.0,145.0,
BS,BHS,44,ISO 3166-2:BS,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BH,BHR,48,ISO 3166-2:BH,Asia,Western Asia,,142.0,145.0,
BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,,142.0,34.0,
BB,BRB,52,ISO 3166-2:BB,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BY,BLR,112,ISO 3166-2:BY,Europe,Eastern Europe,,150.0,151.0,
BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BZ,BLZ,84,ISO 3166-2:BZ,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
BJ,BEN,204,ISO 3166-2:BJ,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
BM,BMU,60,ISO 3166-2:BM,Americas,Northern America,,19.0,21.0,
BT,BTN,64,ISO 3166-2:BT,Asia,Southern Asia,,142.0,34.0,
BO,BOL,68,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
BQ,BES,535,ISO 3166-2:BQ,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BA,BIH,70,ISO 3166-2:BA,Europe,Southern Europe,,150.0,39.0,
BW,BWA,72,ISO 3166-2:BW,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
BV,BVT,74,ISO 3166-2:BV,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
BR,BRA,76,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
IO,IOT,86,ISO 3166-2:IO,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
BN,BRN,96,ISO 3166-2:BN,Asia,South-eastern Asia,,142.0,35.0,
BG,BGR,100,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BF,BFA,854,ISO 3166-2:BF,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
BI,BDI,108,ISO 3166-2:BI,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
CV,CPV,132,ISO 3166-2:CV,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
KH,KHM,116,ISO 3166-2:KH,Asia,South-eastern Asia,,142.0,35.0,
CM,CMR,120,ISO 3166-2:CM,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,
KY,CYM,136,ISO 3166-2:KY,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
CF,CAF,140,ISO 3166-2:CF,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
TD,TCD,148,ISO 3166-2:TD,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CL,CHL,152,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,
CX,CXR,162,ISO 3166-2:CX,Oceania,Australia and New Zealand,,9.0,53.0,
CC,CCK,166,ISO 3166-2:CC,Oceania,Australia and New Zealand,,9.0,53.0,
CO,COL,170,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
KM,COM,174,ISO 3166-2:KM,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
CG,COG,178,ISO 3166-2:CG,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CD,COD,180,ISO 3166-2:CD,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CK,COK,184,ISO 3166-2:CK,Oceania,Polynesia,,9.0,61.0,
CR,CRI,188,ISO 3166-2:CR,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
CI,CIV,384,ISO 3166-2:CI,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
HR,HRV,191,ISO 3166-2:HR,Europe,Southern Europe,,150.0,39.0,
CU,CUB,192,ISO 3166-2:CU,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
CW,CUW,531,ISO 3166-2:CW,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
CY,CYP,196,ISO 3166-2:CY,Asia,Western Asia,,142.0,145.0,
CZ,CZE,203,ISO 3166-2:CZ,Europe,Eastern Europe,,150.0,151.0,
DK,DNK,208,ISO 3166-2:DK,Europe,Northern Europe,,150.0,154.0,
DJ,DJI,262,ISO 3166-2:DJ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
DM,DMA,212,ISO 3166-2:DM,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
DO,DOM,214,ISO 3166-2:DO,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
EC,ECU,218,ISO 3166-2:EC,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
EG,EGY,818,ISO 3166-2:EG,Africa,Northern Africa,,2.0,15.0,
SV,SLV,222,ISO 3166-2:SV,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
GQ,GNQ,226,ISO 3166-2:GQ,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
ER,ERI,232,ISO 3166-2:ER,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
EE,EST,233,ISO 3166-2:EE,Europe,Northern Europe,,150.0,154.0,
SZ,SWZ,748,ISO 3166-2:SZ,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
ET,ETH,231,ISO 3166-2:ET,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
FK,FLK,238,ISO 3166-2:FK,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
FO,FRO,234,ISO 3166-2:FO,Europe,Northern Europe,,150.0,154.0,
FJ,FJI,242,ISO 3166-2:FJ,Oceania,Melanesia,,9.0,54.0,
FI,FIN,246,ISO 3166-2:FI,Europe,Northern Europe,,150.0,154.0,
FR,FRA,250,ISO 3166-2:FR,Europe,Western Europe,,150.0,155.0,
GF,GUF,254,ISO 3166-2:GF,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
PF,PYF,258,ISO 3166-2:PF,Oceania,Polynesia,,9.0,61.0,
TF,ATF,260,ISO 3166-2:TF,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
GA,GAB,266,ISO 3166-2:GA,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
GM,GMB,270,ISO 3166-2:GM,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
GE,GEO,268,ISO 3166-2:GE,Asia,Western Asia,,142.0,145.0,
DE,DEU,276,ISO 3166-2:DE,Europe,Western Europe,,150.0,155.0,
GH,GHA,288,ISO 3166-2:GH,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
GI,GIB,292,ISO 3166-2:GI,Europe,Southern Europe,,150.0,39.0,
GR,GRC,300,ISO 3166-2:GR,Europe,Southern Europe,,150.0,39.0,
GL,GRL,304,ISO 3166-2:GL,Americas,Northern America,,19.0,21.0,
GD,GRD,308,ISO 3166-2:GD,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
GP,GLP,312,ISO 3166-2:GP,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
GU,GUM,316,ISO 3166-2:GU,Oceania,Micronesia,,9.0,57.0,
GT,GTM,320,ISO 3166-2:GT,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
GG,GGY,831,ISO 3166-2:GG,Europe,Northern Europe,Channel Islands,150.0,154.0,830.0
GN,GIN,324,ISO 3166-2:GN,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
GW,GNB,624,ISO 3166-2:GW,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
GY,GUY,328,ISO 3166-2:GY,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
HT,HTI,332,ISO 3166-2:HT,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
HM,HMD,334,ISO 3166-2:HM,Oceania,Australia and New Zealand,,9.0,53.0,
VA,VAT,336,ISO 3166-2:VA,Europe,Southern Europe,,150.0,39.0,
HN,HND,340,ISO 3166-2:HN,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
HK,HKG,344,ISO 3166-2:HK,Asia,Eastern Asia,,142.0,30.0,
HU,HUN,348,ISO 3166-2:HU,Europe,Eastern Europe,,150.0,151.0,
IS,ISL,352,ISO 3166-2:IS,Europe,Northern Europe,,150.0,154.0,
IN,IND,356,ISO 3166-2:IN,Asia,Southern Asia,,142.0,34.0,
ID,IDN,360,ISO 3166-2:ID,Asia,South-eastern Asia,,142.0,35.0,
IR,IRN,364,ISO 3166-2:IR,Asia,Southern Asia,,142.0,34.0,
IQ,IRQ,368,ISO 3166-2:IQ,Asia,Western Asia,,142.0,145.0,
IE,IRL,372,ISO 3166-2:IE,Europe,Northern Europe,,150.0,154.0,
IM,IMN,833,ISO 3166-2:IM,Europe,Northern Europe,,150.0,154.0,
IL,ISR,376,ISO 3166-2:IL,Asia,Western Asia,,142.0,145.0,
IT,ITA,380,ISO 3166-2:IT,Europe,Southern Europe,,150.0,39.0,
JM,JAM,388,ISO 3166-2:JM,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
JP,JPN,392,ISO 3166-2:JP,Asia,Eastern Asia,,142.0,30.0,
JE,JEY,832,ISO 3166-2:JE,Europe,Northern Europe,Channel Islands,150.0,154.0,830.0
JO,JOR,400,ISO 3166-2:JO,Asia,Western Asia,,142.0,145.0,
KZ,KAZ,398,ISO 3166-2:KZ,Asia,Central Asia,,142.0,143.0,
KE,KEN,404,ISO 3166-2:KE,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
KI,KIR,296,ISO 3166-2:KI,Oceania,Micronesia,,9.0,57.0,
KP,PRK,408,ISO 3166-2:KP,Asia,Eastern Asia,,142.0,30.0,
KR,KOR,410,ISO 3166-2:KR,Asia,Eastern Asia,,142.0,30.0,
KW,KWT,414,ISO 3166-2:KW,Asia,Western Asia,,142.0,145.0,
KG,KGZ,417,ISO 3166-2:KG,Asia,Central Asia,,142.0,143.0,
LA,LAO,418,ISO 3166-2:LA,Asia,South-eastern Asia,,142.0,35.0,
LV,LVA,428,ISO 3166-2:LV,Europe,Northern Europe,,150.0,154.0,
LB,LBN,422,ISO 3166-2:LB,Asia,Western Asia,,142.0,145.0,
LS,LSO,426,ISO 3166-2:LS,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
LR,LBR,430,ISO 3166-2:LR,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
LY,LBY,434,ISO 3166-2:LY,Africa,Northern Africa,,2.0,15.0,
LI,LIE,438,ISO 3166-2:LI,Europe,Western Europe,,150.0,155.0,
LT,LTU,440,ISO 3166-2:LT,Europe,Northern Europe,,150.0,154.0,
LU,LUX,442,ISO 3166-2:LU,Europe,Western Europe,,150.0,155.0,
MO,MAC,446,ISO 3166-2:MO,Asia,Eastern Asia,,142.0,30.0,
MG,MDG,450,ISO 3166-2:MG,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
MW,MWI,454,ISO 3166-2:MW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
MY,MYS,458,ISO 3166-2:MY,Asia,South-eastern Asia,,142.0,35.0,
MV,MDV,462,ISO 3166-2:MV,Asia,Southern Asia,,142.0,34.0,
ML,MLI,466,ISO 3166-2:ML,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
MT,MLT,470,ISO 3166-2:MT,Europe,Southern Europe,,150.0,39.0,
MH,MHL,584,ISO 3166-2:MH,Oceania,Micronesia,,9.0,57.0,
MQ,MTQ,474,ISO 3166-2:MQ,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
MR,MRT,478,ISO 3166-2:MR,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
MU,MUS,480,ISO 3166-2:MU,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
YT,MYT,175,ISO 3166-2:YT,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
MX,MEX,484,ISO 3166-2:MX,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
FM,FSM,583,ISO 3166-2:FM,Oceania,Micronesia,,9.0,57.0,
MD,MDA,498,ISO 3166-2:MD,Europe,Eastern Europe,,150.0,151.0,
MC,MCO,492,ISO 3166-2:MC,Europe,Western Europe,,150.0,155.0,
MN,MNG,496,ISO 3166-2:MN,Asia,Eastern Asia,,142.0,30.0,
ME,MNE,499,ISO 3166-2:ME,Europe,Southern Europe,,150.0,39.0,
MS,MSR,500,ISO 3166-2:MS,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
MA,MAR,504,ISO 3166-2:MA,Africa,Northern Africa,,2.0,15.0,
MZ,MOZ,508,ISO 3166-2:MZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
MM,MMR,104,ISO 3166-2:MM,Asia,South-eastern Asia,,142.0,35.0,
,NAM,516,ISO 3166-2:NA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
NR,NRU,520,ISO 3166-2:NR,Oceania,Micronesia,,9.0,57.0,
NP,NPL,524,ISO 3166-2:NP,Asia,Southern Asia,,142.0,34.0,
NL,NLD,528,ISO 3166-2:NL,Europe,Western Europe,,150.0,155.0,
NC,NCL,540,ISO 3166-2:NC,Oceania,Melanesia,,9.0,54.0,
NZ,NZL,554,ISO 3166-2:NZ,Oceania,Australia and New Zealand,,9.0,53.0,
NI,NIC,558,ISO 3166-2:NI,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
NE,NER,562,ISO 3166-2:NE,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
NG,NGA,566,ISO 3166-2:NG,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
NU,NIU,570,ISO 3166-2:NU,Oceania,Polynesia,,9.0,61.0,
NF,NFK,574,ISO 3166-2:NF,Oceania,Australia and New Zealand,,9.0,53.0,
MK,MKD,807,ISO 3166-2:MK,Europe,Southern Europe,,150.0,39.0,
MP,MNP,580,ISO 3166-2:MP,Oceania,Micronesia,,9.0,57.0,
NO,NOR,578,ISO 3166-2:NO,Europe,Northern Europe,,150.0,154.0,
OM,OMN,512,ISO 3166-2:OM,Asia,Western Asia,,142.0,145.0,
PK,PAK,586,ISO 3166-2:PK,Asia,Southern Asia,,142.0,34.0,
PW,PLW,585,ISO 3166-2:PW,Oceania,Micronesia,,9.0,57.0,
PS,PSE,275,ISO 3166-2:PS,Asia,Western Asia,,142.0,145.0,
PA,PAN,591,ISO 3166-2:PA,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
PG,PNG,598,ISO 3166-2:PG,Oceania,Melanesia,,9.0,54.0,
PY,PRY,600,ISO 3166-2:PY,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
PE,PER,604,ISO 3166-2:PE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
PH,PHL,608,ISO 3166-2:PH,Asia,South-eastern Asia,,142.0,35.0,
PN,PCN,612,ISO 3166-2:PN,Oceania,Polynesia,,9.0,61.0,
PL,POL,616,ISO 3166-2:PL,Europe,Eastern Europe,,150.0,151.0,
PT,PRT,620,ISO 3166-2:PT,Europe,Southern Europe,,150.0,39.0,
PR,PRI,630,ISO 3166-2:PR,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
QA,QAT,634,ISO 3166-2:QA,Asia,Western Asia,,142.0,145.0,
RE,REU,638,ISO 3166-2:RE,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
RO,ROU,642,ISO 3166-2:RO,Europe,Eastern Europe,,150.0,151.0,
RU,RUS,643,ISO 3166-2:RU,Europe,Eastern Europe,,150.0,151.0,
RW,RWA,646,ISO 3166-2:RW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
BL,BLM,652,ISO 3166-2:BL,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
SH,SHN,654,ISO 3166-2:SH,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
KN,KNA,659,ISO 3166-2:KN,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
LC,LCA,662,ISO 3166-2:LC,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
MF,MAF,663,ISO 3166-2:MF,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
PM,SPM,666,ISO 3166-2:PM,Americas,Northern America,,19.0,21.0,
VC,VCT,670,ISO 3166-2:VC,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
WS,WSM,882,ISO 3166-2:WS,Oceania,Polynesia,,9.0,61.0,
SM,SMR,674,ISO 3166-2:SM,Europe,Southern Europe,,150.0,39.0,
ST,STP,678,ISO 3166-2:ST,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
SA,SAU,682,ISO 3166-2:SA,Asia,Western Asia,,142.0,145.0,
SN,SEN,686,ISO 3166-2:SN,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
RS,SRB,688,ISO 3166-2:RS,Europe,Southern Europe,,150.0,39.0,
SC,SYC,690,ISO 3166-2:SC,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
SL,SLE,694,ISO 3166-2:SL,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
SG,SGP,702,ISO 3166-2:SG,Asia,South-eastern Asia,,142.0,35.0,
SX,SXM,534,ISO 3166-2:SX,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
SK,SVK,703,ISO 3166-2:SK,Europe,Eastern Europe,,150.0,151.0,
SI,SVN,705,ISO 3166-2:SI,Europe,Southern Europe,,150.0,39.0,
SB,SLB,90,ISO 3166-2:SB,Oceania,Melanesia,,9.0,54.0,
SO,SOM,706,ISO 3166-2:SO,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
ZA,ZAF,710,ISO 3166-2:ZA,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
GS,SGS,239,ISO 3166-2:GS,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
SS,SSD,728,ISO 3166-2:SS,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
ES,ESP,724,ISO 3166-2:ES,Europe,Southern Europe,,150.0,39.0,
LK,LKA,144,ISO 3166-2:LK,Asia,Southern Asia,,142.0,34.0,
SD,SDN,729,ISO 3166-2:SD,Africa,Northern Africa,,2.0,15.0,
SR,SUR,740,ISO 3166-2:SR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
SJ,SJM,744,ISO 3166-2:SJ,Europe,Northern Europe,,150.0,154.0,
SE,SWE,752,ISO 3166-2:SE,Europe,Northern Europe,,150.0,154.0,
CH,CHE,756,ISO 3166-2:CH,Europe,Western Europe,,150.0,155.0,
SY,SYR,760,ISO 3166-2:SY,Asia,Western Asia,,142.0,145.0,
TW,TWN,158,ISO 3166-2:TW,Asia,Eastern Asia,,142.0,30.0,
TJ,TJK,762,ISO 3166-2:TJ,Asia,Central Asia,,142.0,143.0,
TZ,TZA,834,ISO 3166-2:TZ,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
TH,THA,764,ISO 3166-2:TH,Asia,South-eastern Asia,,142.0,35.0,
TL,TLS,626,ISO 3166-2:TL,Asia,South-eastern Asia,,142.0,35.0,
TG,TGO,768,ISO 3166-2:TG,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
TK,TKL,772,ISO 3166-2:TK,Oceania,Polynesia,,9.0,61.0,
TO,TON,776,ISO 3166-2:TO,Oceania,Polynesia,,9.0,61.0,
TT,TTO,780,ISO 3166-2:TT,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
TN,TUN,788,ISO 3166-2:TN,Africa,Northern Africa,,2.0,15.0,
TR,TUR,792,ISO 3166-2:TR,Asia,Western Asia,,142.0,145.0,
TM,TKM,795,ISO 3166-2:TM,Asia,Central Asia,,142.0,143.0,
TC,TCA,796,ISO 3166-2:TC,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
TV,TUV,798,ISO 3166-2:TV,Oceania,Polynesia,,9.0,61.0,
UG,UGA,800,ISO 3166-2:UG,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
UA,UKR,804,ISO 3166-2:UA,Europe,Eastern Europe,,150.0,151.0,
AE,ARE,784,ISO 3166-2:AE,Asia,Western Asia,,142.0,145.0,
GB,GBR,826,ISO 3166-2:GB,Europe,Northern Europe,,150.0,154.0,
US,USA,840,ISO 3166-2:US,Americas,Northern America,,19.0,21.0,
UM,UMI,581,ISO 3166-2:UM,Oceania,Micronesia,,9.0,57.0,
UY,URY,858,ISO 3166-2:UY,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
UZ,UZB,860,ISO 3166-2:UZ,Asia,Central Asia,,142.0,143.0,
VU,VUT,548,ISO 3166-2:VU,Oceania,Melanesia,,9.0,54.0,
VE,VEN,862,ISO 3166-2:VE,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
VN,VNM,704,ISO 3166-2:VN,Asia,South-eastern Asia,,142.0,35.0,
VG,VGB,92,ISO 3166-2:VG,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
VI,VIR,850,ISO 3166-2:VI,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
WF,WLF,876,ISO 3166-2:WF,Oceania,Polynesia,,9.0,61.0,
EH,ESH,732,ISO 3166-2:EH,Africa,Northern Africa,,2.0,15.0,
YE,YEM,887,ISO 3166-2:YE,Asia,Western Asia,,142.0,145.0,
ZM,ZMB,894,ISO 3166-2:ZM,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
ZW,ZWE,716,ISO 3166-2:ZW,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
